ticker,_event_ticker,_series_ticker,title,yes_sub_title,subtitle,status,open_time,close_time,expiration_time,expected_expiration_time,result,settlement_value,last_price,previous_price,volume,open_interest,yes_bid,yes_ask,liquidity,strike_type,floor_strike,cap_strike
KXFED-27APR-T0.00,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 0.00% following the Fed's Apr 28, 2027 meeting?",Above 0.00%,0.00%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,0,
KXFED-27APR-T0.25,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 0.25% following the Fed's Apr 28, 2027 meeting?",Above 0.25%,0.25%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,0.25,
KXFED-27APR-T0.50,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 0.50% following the Fed's Apr 28, 2027 meeting?",Above 0.50%,0.50%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,0.5,
KXFED-27APR-T0.75,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 0.75% following the Fed's Apr 28, 2027 meeting?",Above 0.75%,0.75%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,0.75,
KXFED-27APR-T1.00,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 1.00% following the Fed's Apr 28, 2027 meeting?",Above 1.00%,1.00%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,1,
KXFED-27APR-T1.25,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 1.25% following the Fed's Apr 28, 2027 meeting?",Above 1.25%,1.25%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,1.25,
KXFED-27APR-T1.50,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 1.50% following the Fed's Apr 28, 2027 meeting?",Above 1.50%,1.50%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,1.5,
KXFED-27APR-T1.75,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 1.75% following the Fed's Apr 28, 2027 meeting?",Above 1.75%,1.75%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,1.75,
KXFED-27APR-T2.00,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 2.00% following the Fed's Apr 28, 2027 meeting?",Above 2.00%,2.00%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,2,
KXFED-27APR-T2.25,KXFED-27APR,KXFED,"Will the upper bound of the federal funds rate be above 2.25% following the Fed's Apr 28, 2027 meeting?",Above 2.25%,2.25%,active,2025-10-13T14:00:00Z,2027-04-28T17:55:00Z,2027-05-05T18:05:00Z,2027-04-28T18:05:00Z,,,,,,,,,,greater,2.25,
