series,test,specification,statistic,critical_10,critical_5,critical_1,p_value_approx,lags,lag_selection
nivel,ADF,none,2.8909398286192705,-2.58,-1.95,-1.62,0.1,12,AIC
nivel,ADF,drift,-3.657825155546608,-3.46,-2.88,-2.57,0.01,12,AIC
nivel,ADF,trend,-2.156588310379727,-3.99,-3.43,-3.13,0.1,12,AIC
nivel,PP,constant,-2.8990045401151336,-3.4677305555555553,-2.877569135802469,-2.575227160493827,0.04854714973936231,NA,short Bartlett
nivel,PP,trend,-6.632947862602038,-4.011669753086419,-3.435589197530864,-3.1415672839506175,0.01,NA,short Bartlett
nivel,KPSS,mu,3.067644184311443,0.347,0.463,0.574,0.1,NA,short Bartlett
nivel,KPSS,tau,0.6408208483691871,0.119,0.146,0.176,0.1,NA,short Bartlett
primeira_diferenca,ADF,none,-8.340917632169223,-2.58,-1.95,-1.62,0.01,12,AIC
primeira_diferenca,ADF,drift,-7.255269948611094,-3.46,-2.88,-2.57,0.01,12,AIC
primeira_diferenca,ADF,trend,-7.9353731119297874,-3.99,-3.43,-3.13,0.01,12,AIC
primeira_diferenca,PP,constant,-22.335753881746584,-3.467926859336475,-2.8776570050872317,-2.5752733404076027,0.01,NA,short Bartlett
primeira_diferenca,PP,trend,-22.347130958054436,-4.011945407446709,-3.435720720327081,-3.141644951780531,0.01,NA,short Bartlett
primeira_diferenca,KPSS,mu,0.04744235887167324,0.347,0.463,0.574,0.01,NA,short Bartlett
primeira_diferenca,KPSS,tau,0.013285653235601871,0.119,0.146,0.176,0.01,NA,short Bartlett
